strategy,initial_price,initial_price_diff_vs_regime,mean_pnl,std_pnl,median_pnl,q05_pnl,q01_pnl,min_pnl,max_pnl,avg_stress_fraction,runtime_seconds,std_reduction_vs_unhedged
Unhedged short option,17.986364877992465,0.48669693433800276,-0.9479096120825949,34.73804878762855,18.720402353570115,-92.92872840072123,-122.99828849680067,-144.23785459150727,18.720402353570115,0.11666666666666667,0.0,0.0
Constant-correlation hedge,17.986364877992465,0.48669693433800276,0.6170472719001755,3.6858581719808696,0.6230462001658426,-5.504947116930326,-8.510139114105753,-14.069561228971448,9.58551921703642,0.11666666666666667,0.4326431670342572,0.8938956475502005
Regime-switching hedge,17.49966794365446,0.0,0.10466119877751923,3.6398936530695885,0.1638743272960249,-6.6221639805028785,-8.921310498074652,-15.109877660701578,8.849036253574056,0.11666666666666667,1.3250796670326963,0.8952188225849379
