path_id,stress_fraction,terminal_payoff,Unhedged short option,Constant-correlation hedge,Regime-switching hedge,Constant-correlation hedge (adjusted to regime premium)
0,0.0,0.0,18.720402353570115,3.27290824619665,3.058054854082422,2.7663488331712514
1,0.3333333333333333,0.0,18.720402353570115,-0.5256304609110962,0.3959114128781277,-1.0321898739364948
2,0.0,35.503588121048296,-16.78318576747818,3.400689739098965,3.14098184706711,2.8941303260735665
3,0.0,0.0,18.720402353570115,2.3082552860069154,1.4543769195221943,1.801695872981517
4,0.0,13.43627863127692,5.284123722293195,5.38651218635728,6.04702926329044,4.8799527733318815
5,0.4166666666666667,0.0,18.720402353570115,5.32474921664471,3.951269565546319,4.818189803619312
6,0.0,0.0,18.720402353570115,3.2892937541101896,4.3607780060095385,2.782734341084791
7,0.16666666666666666,46.17833945509139,-27.457937101521274,-4.552082358852289,-2.472107167214645,-5.058641771877687
8,0.08333333333333333,0.0,18.720402353570115,3.4470714827122992,2.8820077298742373,2.9405120696869007
9,0.16666666666666666,0.0,18.720402353570115,3.01387016427841,2.7012169583242485,2.5073107512530113
10,0.16666666666666666,0.0,18.720402353570115,-3.268778294360491,-1.972996810043178,-3.7753377073858894
11,0.0,11.998849306243926,6.721553047326189,6.867422630990504,6.623737222627135,6.360863217965106
12,0.16666666666666666,0.0,18.720402353570115,3.9870662818949256,3.254521021805118,3.480506868869527
13,0.25,0.0,18.720402353570115,2.3755689507596416,2.5292513743455785,1.869009537734243
14,0.0,2.948876631801596,15.77152572176852,0.2789384509281376,-0.8568396952299366,-0.2276209620972609
15,0.08333333333333333,0.0,18.720402353570115,-2.3784800495143243,-3.427706118753885,-2.885039462539723
16,0.25,0.0,18.720402353570115,-0.3901176251616463,-2.3036003796116673,-0.8966770381870448
17,0.25,0.0,18.720402353570115,2.7497280417133654,3.076670343219999,2.243168628687967
18,0.16666666666666666,0.0,18.720402353570115,-1.8987376654666257,-2.29186928218112,-2.4052970784920245
19,0.0,0.0,18.720402353570115,0.25083085517758225,0.6809760992204175,-0.2557285578478163
20,0.16666666666666666,0.0,18.720402353570115,2.8433231857886843,1.0063777590448502,2.3367637727632857
21,0.08333333333333333,10.551855221407848,8.168547132162267,7.415978878816247,6.013255429427346,6.909419465790849
22,0.0,60.11472570871726,-41.394323355147144,4.389030475925566,4.601345505342493,3.882471062900167
23,0.3333333333333333,0.0,18.720402353570115,5.3726695007492395,4.562529909941247,4.8661100877238415
24,0.0,20.89838586334905,-2.177983509778933,3.209922952518511,1.1443434998115265,2.7033635394931124
25,0.08333333333333333,135.20206257363105,-116.48166022006095,-1.6748841877351026,-2.1823619211971277,-2.181443600760501
26,0.08333333333333333,0.0,18.720402353570115,0.7375662499971368,-0.1105347436648219,0.2310068369717383
27,0.0,8.651849055816854,10.068553297753262,2.886623324965594,2.268097638631552,2.3800639119401956
