strategy,runtime_seconds,model_initial_price,funding_initial_price,premium_adjustment,mean_pnl,std_pnl,median_pnl,q05_pnl,q01_pnl,min_pnl,max_pnl,scenario,description,repeat,avg_stress_fraction,avg_prior_stress_probability,avg_posterior_stress_probability
Unhedged short option,0.0,7.9110580604138425,7.9110580604138425,0.0,1.4505229900039374,9.841610750103854,7.418370454977751,-20.271036330032793,-30.532184659458927,-43.78398539934021,8.15198564672296,Baseline,Original synthetic benchmark,0,0.17575757575757575,0.18282983042096196,0.18369506218629483
Constant-correlation hedge,0.6023577919999998,8.203948150979798,7.9110580604138425,0.2928900905659555,-0.2239932543422118,1.630186224339576,-0.05354549825711086,-3.179259435605221,-4.786814780774307,-5.2336501360827015,3.398271243769713,Baseline,Original synthetic benchmark,0,0.17575757575757575,0.18282983042096196,0.18369506218629483
Oracle regime hedge,1.8525143330000002,7.9110580604138425,7.9110580604138425,0.0,-0.22377270219652895,1.6377401138202592,-0.16759406145735115,-2.881973742235575,-4.294615975107225,-6.039073082355557,3.474180548212047,Baseline,Original synthetic benchmark,0,0.17575757575757575,0.18282983042096196,0.18369506218629483
Filtered regime hedge,3.7983322920000004,8.09809015387759,7.9110580604138425,0.18703209346374816,-0.22568857936381212,1.6158741619501187,-0.16454282981858925,-2.9298267933304167,-4.820800539718732,-5.1770035343664915,3.1476500813217854,Baseline,Original synthetic benchmark,0,0.17575757575757575,0.18282983042096196,0.18369506218629483
Unhedged short option,0.0,7.835877571683916,7.835877571683916,0.0,-0.4100943239855018,11.502995401553674,4.8851456559345365,-21.998986956431757,-36.990523951918945,-60.483387864292524,8.074515571246366,Baseline,Original synthetic benchmark,1,0.16818181818181818,0.18265224102637212,0.17718950808106576
Constant-correlation hedge,0.6071691660000003,8.230337223122557,7.835877571683916,0.39445965143864115,-0.2390888818321252,1.4516448591542133,-0.012780711177910575,-2.5809594034091616,-4.293878939470136,-5.874446186941508,3.993479851633296,Baseline,Original synthetic benchmark,1,0.16818181818181818,0.18265224102637212,0.17718950808106576
Oracle regime hedge,1.9914195830000008,7.835877571683916,7.835877571683916,0.0,-0.21195320433267328,1.4613442032338149,-0.0198852798593207,-2.6032119000556557,-4.437562465616399,-6.24886078163874,3.9340058112156555,Baseline,Original synthetic benchmark,1,0.16818181818181818,0.18265224102637212,0.17718950808106576
Filtered regime hedge,4.060333958999999,8.076654630843738,7.835877571683916,0.2407770591598215,-0.22437831241556036,1.4274666917550913,0.01314451961957077,-2.5442709201169804,-4.157128299823537,-6.016957896955834,3.7760609499042843,Baseline,Original synthetic benchmark,1,0.16818181818181818,0.18265224102637212,0.17718950808106576
Unhedged short option,0.0,8.140868561786498,8.140868561786498,0.0,-0.22638947334072151,12.263618706689018,7.459849257688116,-25.667973594237065,-38.66802035239973,-54.5367535822337,8.388794919812543,Baseline,Original synthetic benchmark,2,0.19128787878787878,0.18268362789336307,0.18075680802760652
Constant-correlation hedge,0.6054038329999987,8.358901790927709,8.140868561786498,0.21803322914121104,-0.05672624046190135,1.685785028182035,0.08957738765185042,-3.441726131333813,-5.010226171312024,-5.7397169795167216,4.366699203700996,Baseline,Original synthetic benchmark,2,0.19128787878787878,0.18268362789336307,0.18075680802760652
Oracle regime hedge,1.9125219159999993,8.140868561786498,8.140868561786498,0.0,-0.02170453033553064,1.6929503873379672,0.1343007609881357,-3.2313278448485283,-5.375658769063676,-5.819024772130169,4.2574463312351085,Baseline,Original synthetic benchmark,2,0.19128787878787878,0.18268362789336307,0.18075680802760652
Filtered regime hedge,3.999388875000001,7.976144121952089,8.140868561786498,-0.16472443983440854,-0.054931769363636175,1.666684957887871,0.026449120742749528,-3.466083266805681,-5.4100819127812825,-5.767289946313618,4.149094173049164,Baseline,Original synthetic benchmark,2,0.19128787878787878,0.18268362789336307,0.18075680802760652
Unhedged short option,0.0,8.932752640112039,8.932752640112039,0.0,0.4476087060631948,13.439334720851477,8.871139915157334,-28.187995483600844,-42.27568787323075,-61.000461501941906,9.204795458688698,Latent stress,Monthly high-stress benchmark with 50% stress share and symmetric switching,0,0.4409090909090909,0.4549111787472838,0.4470555130504373
Constant-correlation hedge,0.5460759589999995,8.356738668507518,8.932752640112039,-0.576013971604521,0.030435622768768572,2.143964591602687,0.18962486878459117,-4.144828668581746,-7.984648499752048,-9.41036720040168,5.018750242732644,Latent stress,Monthly high-stress benchmark with 50% stress share and symmetric switching,0,0.4409090909090909,0.4549111787472838,0.4470555130504373
Oracle regime hedge,1.909692875000001,8.932752640112039,8.932752640112039,0.0,0.03267606605444944,2.165943151744908,0.07545362476118811,-3.2945964502299163,-6.840913682146537,-9.240548534662878,5.05215815782136,Latent stress,Monthly high-stress benchmark with 50% stress share and symmetric switching,0,0.4409090909090909,0.4549111787472838,0.4470555130504373
Filtered regime hedge,4.060414958999999,8.933972557281256,8.932752640112039,0.0012199171692177657,0.00807164766371462,2.153399837706923,0.04307799915942967,-3.6727808213465933,-7.486517792124794,-8.53168760000905,5.367403235520911,Latent stress,Monthly high-stress benchmark with 50% stress share and symmetric switching,0,0.4409090909090909,0.4549111787472838,0.4470555130504373
