scenario,description,rho_constant,rho_calm,rho_stress,avg_offdiag_constant,avg_offdiag_calm,avg_offdiag_stress,mean_prior_stress,mean_prior_given_true_stress,mean_prior_given_true_calm,hard_classification_accuracy,brier_score
Baseline,Original synthetic benchmark,0.35,0.2,0.75,0.35000000000000003,0.19999999999999998,0.75,0.18272189978023237,0.19966391713544115,0.17903701619215842,0.8215909090909091,0.14361008020826466
Latent stress,Monthly high-stress benchmark with 50% stress share and symmetric switching,0.35,0.2,0.98,0.35000000000000003,0.19999999999999998,0.9800000000000001,0.454985801157971,0.4982700646389018,0.41924767374584343,0.5678030303030303,0.2282717612464142
