scenario,std_advantage_oracle_vs_constant,std_advantage_filtered_vs_constant,std_recovery_fraction,q05_advantage_oracle_vs_constant,q05_advantage_filtered_vs_constant,q05_recovery_fraction,q01_advantage_oracle_vs_constant,q01_advantage_filtered_vs_constant,q01_recovery_fraction
Baseline,-0.008139530905405312,0.01919676669424808,,0.16181049440281248,0.08725466336503906,0.5392398292030833,-0.005639106076944067,-0.09903028692236138,
Latent stress,-0.009154508194298527,0.00324716230508848,,0.19431291932849826,0.06752852888636385,0.3475246479736255,0.862217370613334,0.5247493021972112,0.6086044193518548
