mean_prior_stress,mean_prior_given_true_stress,mean_prior_given_true_calm,hard_classification_accuracy,brier_score,scenario,description,repeat,rho_constant,rho_calm,rho_stress,avg_offdiag_constant,avg_offdiag_calm,avg_offdiag_stress
0.18282983042096196,0.1998558625469532,0.17919927945291972,0.8242424242424242,0.14199680500049064,Baseline,Original synthetic benchmark,0,0.35,0.2,0.75,0.35000000000000003,0.19999999999999998,0.75
0.18265224102637212,0.19926892745372018,0.17929258311483182,0.8318181818181818,0.1375763560748557,Baseline,Original synthetic benchmark,1,0.35,0.2,0.75,0.35000000000000003,0.19999999999999998,0.75
0.18268362789336307,0.1998669614056501,0.17861918600872376,0.8087121212121212,0.15125707954944764,Baseline,Original synthetic benchmark,2,0.35,0.2,0.75,0.35000000000000003,0.19999999999999998,0.75
0.4549111787472838,0.49799886228805185,0.4209314608330196,0.5678030303030303,0.2284119158123001,Latent stress,Monthly high-stress benchmark with 50% stress share and symmetric switching,0,0.35,0.2,0.98,0.35000000000000003,0.19999999999999998,0.9800000000000001
0.4557813176120436,0.4991719379832949,0.4178722660314827,0.565530303030303,0.22828259150421742,Latent stress,Monthly high-stress benchmark with 50% stress share and symmetric switching,1,0.35,0.2,0.98,0.35000000000000003,0.19999999999999998,0.9800000000000001
0.4542649071145854,0.4976393936453586,0.41893929437302796,0.5700757575757576,0.22812077642272505,Latent stress,Monthly high-stress benchmark with 50% stress share and symmetric switching,2,0.35,0.2,0.98,0.35000000000000003,0.19999999999999998,0.9800000000000001
